caption,comments1,comments,likes,timestamp,url,collection date,timespan,time,wc,log(wc),post interval,pf,sf,sf_new,saturation,revenue,posts,person,plant,cluster1,cluster2,cluster3,pfr,sfr
"Transform your space with the timeless beauty of the Aurelia rug – now on sale! 

Shop now.",34,34,2224,2025-04-11T08:20:00.000Z,https://www.instagram.com/p/DITKOKRowgm/,16-03-2026,11-04-2025,253,27,3.33220451,1,1,6,0,40,2.289482408,12300,0,0,,0,0,5,0
Wishing you a season filled with warmth and joy. Merry Christmas from Pottery Barn.,47,47,2243,2025-09-14T20:30:36.000Z,https://www.instagram.com/p/DOmI_rYE3ZS/,16-03-2026,14-09-2025,156,32,3.496507561,0,2,5,0,71,2.195270408,4680,1,1,,0,0,5,0
"Elevate your living space with the Everson coffee table. A touch of timeless elegance for festive gatherings. 

Shop the collection now.",74,74,2244,2025-10-10T07:30:55.000Z,https://www.instagram.com/p/DPntJxqkQL2/,16-03-2026,10-10-2025,122,41,3.737669618,1,1,5,0,32,5.182383741,4750,0,0,,1,1,4,0
"Classic lines and a rustic finish give this bed heirloom appeal. Built to last with the charm of countryside living.
 Shop now at www.potterybarn.in or in-stores",0,0,2245,2025-06-18T14:07:12.000Z,https://www.instagram.com/p/DLC37OkJ4k_/,16-03-2026,18-06-2025,214,62,4.143134726,1,4,4,0,136,4.755391904,10350,1,0,,0,0,3,0
"The design detail every bathroom needs: brass.

@mradesignstudio
#mycb2",0,0,2251,2026-02-19T18:00:51.000Z,https://www.instagram.com/p/DU8g4hBEwA2/,16-03-2026,19-02-2026,13,22,3.135494216,1,2,0,0,42,0,4680,1,0,,0,0,0,0
"Don’t miss out on what’s next. 

Stay tuned for more information.",0,0,2253,2026-01-02T16:18:48.000Z,https://www.instagram.com/p/DTA8YYfiXlA/,16-03-2026,02-01-2026,45,16,2.833213344,0,1,9,0,45,4.262830395,10350,1,0,,0,0,11,0
"This Thanksgiving, great taste is meant to be shared. So turn your home into a happening.",33,33,2254,2025-12-26T17:02:31.000Z,https://www.instagram.com/p/DSux-Q4kgoL/,16-03-2026,26-12-2025,48,178,5.187385806,1,4,5,0,60,2.69763917,4680,0,1,,0,1,0,0
"Danish dining at minimalist prices.

Honest materials, soft organic forms and a light, effortless expression. Part of our LIVE STYLE FOR LESS edit, the Bornholm dining table and Hamilton dining chair bring authentic Danish style to your every day.

Follow the link in bio to explore the full edit.

#FunctionalLuxury #ModernLivingRoom #DesignForLiving #ContemporaryInteriorDesign",0,0,2257,2025-11-19T18:01:52.000Z,https://www.instagram.com/p/DRPnWf8AYJ-/,16-03-2026,19-11-2025,79,13,2.63905733,1,2,6,0,72,0,4680,1,0,,1,0,0,0
"Electroplated stainless steel with gold or bronze finish, a Fair Trade Certified bar tool set crafted with purpose.
 
Visit us in-store or shop online at www.potterybarn.in",91,91,2257,2025-04-27T08:20:00.000Z,https://www.instagram.com/p/DI8W8jqy4Pu/,16-03-2026,27-04-2025,238,27,3.33220451,0,1,0,0,54,2.732984287,12300,1,1,,0,0,8,0
.,88,88,2257,2024-11-12T07:35:00.000Z,https://www.instagram.com/p/DCQ1xsSIqiW/,16-03-2026,12-11-2024,396,27,3.33220451,0,2,0,0,54,4.627910574,9100,1,0,,0,0,2,0
"A symbol of fortune and elegance, this antique bronze crane adds a sculptural touch to any space. 

Visit store to shop now or shop online at www.potterybarn.in",72,72,2264,2026-01-14T19:00:52.000Z,https://www.instagram.com/p/DTf64LygSjv/,16-03-2026,14-01-2026,34,70,4.262679877,0,2,0,0,90,2.316569427,4680,1,0,,1,1,1,0
"A modern twist on traditional tabletop trees. Elevate your dining space with our Decorative Paper Tabletop. 

Tap to shop now.",86,86,2266,2026-02-11T19:01:45.000Z,https://www.instagram.com/p/DUoBOl8kmOA/,16-03-2026,11-02-2026,20,21,3.091042453,0,2,2,0,32,0,4680,0,0,,0,1,0,0
"Gather around in style to experience the Ezra Dining Chair’s modern comfort and timeless style.

Tap to shop now.",0,0,2268,2025-07-22T14:35:22.000Z,https://www.instagram.com/p/DMaeLWJp57S/,16-03-2026,22-07-2025,191,94,4.553876892,1,3,0,0,134,1.891109804,10350,0,0,,0,1,0,0
"Do you prefer quiet neutrals or rich, expressive colour? With our Modena armchair, the choice is yours.

From soft, understated textures to bolder fabric statements, each option brings a different mood to Modena’s clean lines and inviting comfort.

Find your favourite with free fabric samples via the link in our bio.

#ModernLivingRoom #QuietLuxuryHome #DesignForLiving #CraftedForComfort",51,51,2269,2025-11-20T18:01:51.000Z,https://www.instagram.com/p/DRSMKI9D5FW/,16-03-2026,20-11-2025,78,47,3.871201011,0,1,10,0,92,3.017096904,4680,1,0,,0,0,10,0
"Clean lines. Warm oak. Upholstered ease. Miles offers a fresh take on comfort with lasting style. 

Bring it home, shop now at www.westelm.in or in-stores",61,61,2269,2025-06-22T08:18:05.000Z,https://www.instagram.com/p/DLMjHGxMAsU/,16-03-2026,22-06-2025,212,159,5.075173815,0,1,4,0,64,2.515428283,4750,0,1,,1,1,5,0
"Shaped by the principles of Danish living, this dining space is a natural gathering point for shared meals and private contemplation. 

With gentle curves and tapered legs, the Hauge collection radiates a softness that invites unhurried moments. 

Discover Danish design at minimalist prices when you shop our LIVE STYLE FOR LESS edit via the link in bio.

#LiveDanish #BoConcept #ContemporaryInteriorDesign #MinimalistHomeDecor",47,47,2271,2024-11-03T08:59:56.000Z,https://www.instagram.com/p/DB50UF8yRO3/,16-03-2026,03-11-2024,408,18,2.944438979,3,1,8,0,11,4.821123,9100,1,1,,0,0,5,0
"Good design lingers. The kind you catch yourself thinking about later.

@sarahstaceyinteriordesign
@brns_design

#mycb2",51,51,2276,2026-01-16T18:01:34.000Z,https://www.instagram.com/p/DTk9jlsgR57/,16-03-2026,16-01-2026,32,22,3.135494216,0,2,0,0,86,2.69183291,4680,0,0,,0,0,1,0
"A lesson in understatement.

Quiet details, natural textures and even cooler forms—proof that pared-back design doesn't mean less, it means just enough.

@sarahtract
@myneutralliving
@wil.myrs

#mycb2",0,0,2278,2025-09-17T08:15:09.000Z,https://www.instagram.com/p/DOsj7sJEYZR/,16-03-2026,17-09-2025,153,56,4.043051268,1,1,4,0,34,2.71359058,4750,0,0,,1,1,0,0
"Embrace timeless craftsmanship with the Benchwright table – a perfect blend of rustic charm and enduring strength. 

Shop now and bring history into your home!",0,0,2279,2025-09-28T12:30:00.000Z,https://www.instagram.com/p/DPJV7uwE1hw/,16-03-2026,28-09-2025,139,23,3.17805383,1,1,0,0,82,4.368741057,12300,0,0,,1,1,9,0
"Crafted from solid wood in our exclusive Sandwash finish, the Aptos Coffee Table adds warmth and style to any space.

Shop now!",59,59,2338,2025-10-23T18:01:25.000Z,https://www.instagram.com/p/DQKF4vsDzJ-/,16-03-2026,23-10-2025,107,22,3.135494216,1,1,6,0,32,0,4680,1,1,,1,1,5,0
"Relaxed yet refined, Layton balances the look of tailored upholstery with the rustic warmth of wood.

Shop now.",0,0,2339,2025-09-12T16:02:01.000Z,https://www.instagram.com/p/DOgTkd3DvC_/,16-03-2026,12-09-2025,159,109,4.700480366,0,2,5,0,56,2.253762164,4680,0,0,,1,1,0,0
Chocolate brown velvet. The glow of candlelight. A hit of rose. It's cozy—elevated to its highest form.,38,38,2343,2026-01-25T18:01:08.000Z,https://www.instagram.com/p/DT8IpuzATZS/,16-03-2026,25-01-2026,27,129,4.86753445,0,1,8,0,120,4.333981163,4680,1,0,,0,0,8,0
"Introducing THE COLLECTORS. Discover how artists and creatives across the country mix CB2 into their personal collections to create spaces that are entirely their own.

All the inspiration awaits at the link in bio.

Featuring
@mfisher_nyc
@aurorajames
@alvinwayne",43,43,2348,2025-12-16T18:00:36.000Z,https://www.instagram.com/p/DSVUgajEl6v/,16-03-2026,16-12-2025,58,9,2.302585093,0,1,4,0,69,4.697903473,4680,1,1,,1,1,6,0
"Sleek lines, a sculpted back, and lasting comfort. The Alessio Dining Chair brings elegance and durability to every meal.
 Shop in stores or online at www.westelm.in",82,82,2350,2025-10-10T12:19:42.000Z,https://www.instagram.com/p/DPoOPrdDGfT/,16-03-2026,10-10-2025,121,23,3.17805383,1,2,3,0,138,4.069706324,10350,1,1,,0,1,1,0
"Summer’25 Fresh New Arrivals

Experience the charm of summer in  every hue, pattern, and silhouette. 

Cotton shirts in straight silhouettes, to top and dresses in soothing hues and traditional prints, the latest collection brings the essence of summer to life. 

Shop the latest arrivals to bring in the spirit of this season. 
.
.
.
.
.
.
.
#Summer25 #NewArrivals #EverydayElegance #ModernIndianWear #SlowMoments
#fabindia #cottonwear #summercollection",347,347,2352,2025-10-22T18:01:46.000Z,https://www.instagram.com/p/DQHhQoUga-u/,16-03-2026,22-10-2025,108,43,3.784189634,1,1,10,0,66,5.060567919,4680,1,0,,0,1,8,0
"This is what happens when your home has just as much personality as you do. Bold choices, confident corners and just the right amount of unexpected.

#mycb2",0,0,2365,2025-09-23T09:31:33.000Z,https://www.instagram.com/p/DO8JfK8AgFq/,16-03-2026,23-09-2025,144,30,3.433987204,0,1,4,0,45,2.239758683,12300,1,0,,1,1,3,0
"When we say press-worthy, this is what we mean. Sofas worthy of ELLE Decor editors and your living room alike.",343,343,2368,2025-12-13T11:50:58.000Z,https://www.instagram.com/p/DSM91P6Ca8o/,16-03-2026,13-12-2025,59,60,4.110873864,0,2,0,0,16,2.161426803,10350,1,0,,0,0,0,0
"Crafted to last- Aluminum and glass with a timeless brass finish.

Visit us in-store or shop online at www.potterybarn.in",317,317,2373,2025-11-23T18:01:09.000Z,https://www.instagram.com/p/DRZ6pNMgfTu/,16-03-2026,23-11-2025,78,75,4.33073334,0,1,6,0,72,5.281752,4680,0,0,,0,0,3,0
"Our Interior Designers used warm neutrals, soft curves and a statement pendant light to create an inviting minimalist interior in our latest Colombia project. 

Want advice styling your home? Our Interior Designers are here to help via the link in bio.

#LiveDanish #BoConcept #DesignerLivingRoom #DanishSofa #ContemporaryInteriorDesign",63,63,2378,2026-01-31T23:15:06.000Z,https://www.instagram.com/p/DUMWwtAlAXD/,16-03-2026,31-01-2026,25,77,4.356708827,0,1,5,0,69,2.698467718,4680,1,1,,0,1,7,0
Good design upon arrival. The mood is set.,0,0,2379,2026-01-06T11:00:06.000Z,https://www.instagram.com/p/DTKrFrrCbEv/,16-03-2026,06-01-2026,41,36,3.610917913,1,1,5,0,117,4.355416957,10350,1,1,,1,0,8,0
"When structure meets softness. Rich velvets and allover Mongolian sheepskin take these curves to another level.

#mycb2",68,68,2384,2025-11-14T18:00:56.000Z,https://www.instagram.com/p/DRCvc5HDlBM/,16-03-2026,14-11-2025,82,20,3.044522438,1,1,7,0,29,4.232371811,4680,1,0,,0,0,9,0
"Gracely and Stately. The Novato Nesting Tables offer a touch of modern luxury to your living space. 

Shop now.",0,0,2386,2025-10-08T18:01:12.000Z,https://www.instagram.com/p/DPjeHUzE9uR/,16-03-2026,08-10-2025,123,15,2.772588722,1,1,7,0,48,4.523624954,4680,0,0,,1,1,4,0
"Effortless elegance—this floating linen shade casts a warm, ambient glow while adding soft texture to your space.

Shop on www.westelm.in or in-stores now!",97,97,2395,2025-12-17T14:33:27.000Z,https://www.instagram.com/p/DSXjm1VCRXn/,16-03-2026,17-12-2025,57,89,4.49980967,0,1,5,0,90,2.094524785,10350,1,0,,0,0,1,0
"Brunch in hues of tangerine and sun warmed calm. 

Set against a palette of citrus and calm, The Hamza Collection brings handcrafted table linen to the heart of your summer brunches. 

Every piece thoughtfully designed, adding texture, grace, and a whisper of elegance to the moment.

Craft a table that lingers in memory.

Shop the Hamza Collection by Fabindia.

.
.
.
.
.
.
#hamzacollection #cutlery #brunch #brunching #dinnerwear #serveware #fabindia",0,0,2397,2025-11-12T18:01:09.000Z,https://www.instagram.com/p/DQ9l9e7gVdF/,16-03-2026,12-11-2025,84,9,2.302585093,1,1,0,0,96,4.080245238,4680,1,0,,0,0,0,0
"Compact and comfortable the new Terni chair is ideal for decorating smaller spaces.

With a slim metal frame and supportive seat, it’s the perfect choice for city apartments or guestrooms where space is at a premium.

Follow the link in bio to add Terni's style to your space.

#ContemporaryInteriorDesign #MinimalistHomeDecor #DesignForLiving",0,0,2404,2025-10-20T18:00:52.000Z,https://www.instagram.com/p/DQCbJ5Gjndv/,16-03-2026,20-10-2025,110,31,3.465735903,2,1,4,0,84,4.644686564,4680,1,1,,1,0,4,0
"Bring the vibrancy of red pepperberries into your home. 

Our handcrafted Faux Tree adds a striking touch to any space. Shop now!",0,0,2417,2025-10-04T18:00:58.000Z,https://www.instagram.com/p/DPZKyv8jjsy/,16-03-2026,04-10-2025,130,29,3.401197382,1,1,0,0,78,4.567547765,4680,1,0,,1,0,0,0
"Svarnim: The Golden Journey begins.

We invite you into a world where every moment sparkles with celebration. 

Experience the warm glow of India’s most cherished festivals with the richest craft traditions reflected in home décor, festive attire, classic jewellery, nourishing skincare and wholesome foods.

Gota Patti, Banarasi, Chanderi, Pittal (Brass), Gold Khari, Maheshwari, Ghicha Silk, Aari are just some of the grand techniques you will experience with us as we walk through the craft treasure troves of our country. 

This is just the beginning, and it only gets more magical from here. Especially as over a billion smiles light up the world.
.
.
.
[ Rakhi gifts, Teej looks, Janmashtami, festive home styling, Indian celebration wear, family gifting, heritage textiles, festive ] 

#Svarnim #Fabindia #CelebrateIndia #TheGoldenJourney
#Handicrafts #Festivals #celebration 
#festivewear #rakhi #rakshaBandhan #gifting #festivegifts",30,30,2421,2025-11-15T18:01:26.000Z,https://www.instagram.com/p/DRFUN8fD8xI/,16-03-2026,15-11-2025,79,66,4.204692619,0,1,4,0,54,2.247076161,4680,0,1,,1,1,2,0
"Designed for laid-back moments, Cancún brings the Danish summerhouse retreat closer to home – inviting you to slow down and savour the simple pleasures of outdoor living. 

Click the link our bio to shop the Cancún Kollektion and transform your outdoor space into a serene escape.",0,0,2472,2025-07-19T16:01:57.000Z,https://www.instagram.com/p/DMS5szWJT50/,16-03-2026,19-07-2025,194,16,2.833213344,2,2,4,0,150,2.68132118,10350,0,1,,1,0,1,0
"When the sun leans in, beauty unfolds.

Appliqué cushions in bloom, curtains that breathe, and Hamza goblets catching every hue.

Craft meets colour in a summer mood - easy, artful, alive.

Shop new arrivals in Home & Living.
.
.
.
.
.

#FabindiaHome #Fabindia #serveware #TableLinen #homedecor #SlowLivingSpaces #CraftedInColour #NewArrivals #EverydayElegance #celebratelndia",0,0,2475,2025-10-28T18:01:13.000Z,https://www.instagram.com/p/DQW9-gFDykW/,16-03-2026,28-10-2025,98,14,2.708050201,2,1,6,0,92,4.879349025,4680,1,0,,1,0,10,0
"*This* is the kind of bedroom we're after.

@stagedtosellhome
@Frophotoinc 
@ddreps
#mycb2",0,0,2477,2026-01-17T09:45:57.000Z,https://www.instagram.com/p/DTm3TZ4DsFQ/,16-03-2026,17-01-2026,31,73,4.304065093,1,0,0,0,29,3.533036617,4750,1,0,,1,1,0,0
"As diyas glow and laughter fills the home, every detail begins to tell its own story.

Maheshwari weaves in earthen tones, maroon kurtas in soft silk, cotton-silk sets for little ones, each piece made with care and quiet precision.

Jewellery with ruby and pearl accents adds a gentle gleam, while the engraved brass thali brings balance and depth to the festive setting.
From fabric to metal, every element carries the warmth of handwork and the ease of everyday celebration. 

Celebrate this Diwali with Fabindia, where every weave, accent, and glow finds its place in the story of your home.

#Fabindia #CelebrateIndia #CelebratingPeople #Diwali2025 #FestiveHome #FestiveApparel #BrassDecor #MaheshwariWeaves #FabindiaJewellery #FestiveSeason #HomeInTradition #IndianCraft #Handcrafted #FestiveElegance

Fabindia, Diwali decor, festive home, brass pooja thali, Maheshwari saree, maroon kurta, cotton silk lehenga, ruby earrings, handcrafted jewellery, Indian textiles, festive fashion, festive warmth, home styling, Indian crafts, celebration",0,0,2500,2026-02-25T08:46:47.000Z,https://www.instagram.com/p/DVLLk-1EwkI/,16-03-2026,25-02-2026,8,13,2.63905733,1,4,2,0,15,0,4750,0,1,,1,0,1,0
"#IDExhibitor2026

WestElm @westelm_india is a globally recognised brand creating modern furniture and décor that prioritise design integrity, sustainability, and accessibility. Operating across India, the brand collaborates with designers, artists, and artisan communities to bring thoughtfully crafted, responsibly made pieces into contemporary homes. At India Design ID 2026, WestElm will present furniture and décor collections developed with Fair Trade, FSC®-certified, and responsibly sourced materials.

Explore modern design made ethical, functional, and inviting at #ID2026.
February 19–22, 2026 | NSIC Grounds, Okhla, New Delhi.

#IndiaDesignID2026 #IDExhibit #IDExhibitAlert #Editions",0,0,2500,2026-01-14T08:04:38.000Z,https://www.instagram.com/p/DTe9Uy-DoMf/,16-03-2026,14-01-2026,34,26,3.295836866,0,1,2,0,42,0,4750,0,0,,1,1,2,0
"Every well-collected home needs something from another era. So make it a Paul McCobb original, reissued for today in rose velvet. It's only at CB2.",57,57,2500,2026-01-04T08:05:00.000Z,https://www.instagram.com/p/DTFNayGjm_z/,16-03-2026,04-01-2026,44,48,3.891820298,1,1,1,0,32,4.579859473,4750,0,1,,0,1,0,0
"A celebration of our pride, our people and our shared values.
Our stores are adorned in the colours of the Tiranga, bringing the spirit of the Republic to life.

Tiranga India ka, Kurta Fabindia ka.

This Republic Day, shop Fabindia kurtas for men, women or kids and receive a premium flag lapel pin free*.
Offer available in stores only.

*T&C Apply
Kurta MRP ₹2199 or above
1 lapel pin per bill
Valid till 26th January or while stocks last. 
.
.
.
#Fabindia #CelebrateIndia #RepublicDay #CelebratingPeople",29,29,2500,2025-12-28T08:04:43.000Z,https://www.instagram.com/p/DSzL0huDn7h/,16-03-2026,28-12-2025,47,37,3.63758616,0,1,2,0,54,0,4750,0,0,,0,0,6,0
"Evenings feel different when the space and the wardrobe speak the same language.

It starts with the Amaya mango-wood cabinet anchoring the room with quiet texture, followed by black embroidered cushions that add an easy, layered depth.

Then the mood moves into dressing, a cotton–silk saree that feels effortless, and an all-black kurta–bundi look that keeps the celebration modern and unforced.

Because black deserves its own moment of celebration.

Shop the Celebration Edit.

#Fabindia #CelebrateIndia #CelebratingPeople #CelebrationEdit #EveningStories #CraftedSpaces #partywear #CelebrateBlack #AllBlackMood #BlackSilhouettes #BlackEdit 

[black festive wear, partywear, all-black ensemble, black kurta bundi, black cotton-silk saree, black décor accents, black embroidered cushions, mango wood cabinet, Amaya cabinet, black home styling, festive home décor, evening dressing, modern festive wear, black colour aesthetic]",0,0,2500,2025-12-05T08:43:47.000Z,https://www.instagram.com/p/DR4CDOCDCUg/,16-03-2026,05-12-2025,68,75,4.33073334,2,2,2,0,139,2.940624508,10350,1,0,,0,1,1,0
"Glassware that shines.
 Crystalline stemware that’s elegant, durable, and perfect for celebrations or quiet evenings—a gift with timeless sparkle.

Shop in stores or online at www.westelm.in Starlight Stemware Gift Hamper: https://westelm.in/product/starlight-stemware-gift-hamper-17150647",46,46,2500,2025-10-23T12:30:00.000Z,https://www.instagram.com/p/DQJt3C7AVIb/,16-03-2026,23-10-2025,107,21,3.091042453,0,2,2,0,1,2.14380613,9100,0,0,,0,0,1,0
"Let the good times flow with Pottery Barn’s glassware. 

A sophisticated and stylish addition to your home bar.",0,0,2500,2025-10-07T07:31:00.000Z,https://www.instagram.com/p/DPf-xynjdBT/,16-03-2026,07-10-2025,124,17,2.890371758,1,0,2,0,21,4.812531,4750,1,1,,0,0,0,0
"Lounge in style and add a finishing touch with this festive set. 

Discover the Offset Stripe Pillow Cover on www.westelm.in or in-stores.",0,0,2500,2025-09-30T07:30:53.000Z,https://www.instagram.com/p/DPN9M4eDq7I/,16-03-2026,30-09-2025,136,101,4.624972813,0,1,2,0,40,3.599436896,4750,0,1,,0,1,6,0
"Cast glass with antique-inspired texture and slim architectural legs. Compact, refined, and built to last. 
Shop in stores or online at www.westelm.in",56,56,2500,2025-09-25T12:30:00.000Z,https://www.instagram.com/p/DPBnkEriGD0/,16-03-2026,25-09-2025,142,26,3.295836866,1,1,2,0,1,3.04362044,9100,1,1,,1,1,9,0
"With its slim profile and integrated storage, the Cupertino desk allows for personal expression without compromising functionality. Our community shows us how:

@cozy.happy.here brings warmth with natural textures and neutral tones, while @frau_sommerfeldt_wohnt creates a calm evening workspace with layered lighting and personal touches.

Follow the link in bio to upgrade your office with Cupertino.

#LiveDanish #BoConcept #DesignForLiving #MindfulDesign",64,64,2500,2025-09-14T12:30:00.000Z,https://www.instagram.com/p/DOlS14Wgvrl/,16-03-2026,14-09-2025,157,17,2.890371758,1,0,2,0,1,2.499951779,12300,1,0,,0,0,0,0
"Low, sleek and storage rich. A console for minimalist living. 
Available now In-Stores or Shop Online at www.westelm.in",0,0,2500,2025-06-10T14:04:55.000Z,https://www.instagram.com/p/DKuRTlkJaDl/,16-03-2026,10-06-2025,214,101,4.624972813,0,3,1,0,114,2.721917962,10350,0,1,,1,0,2,0
"This month, we spotlight @romo.x.sam’s London home, where the Santiago dining table sets the scene for an elegantly hosted celebration dinner. 

Finished in an understated Ash tone, Santiago’s signature silhouette sits harmoniously alongside Dark Oak Seoul chairs and refined table styling. The result is a dining space with presence and warmth – the perfect setting for memorable occasions. 

Tap the link in our bio to elevate your dining experience with Santiago.

#ContemporaryHomeDecor #MinimalistHomeDecor #DesignForLiving #QuietLuxuryHome",85,85,2500,2025-04-28T08:15:00.000Z,https://www.instagram.com/p/DI-7H7QS5wf/,16-03-2026,28-04-2025,237,59,4.094344562,1,3,1,0,50,2.577844182,9100,1,1,,0,0,0,0
"Gifts that feel good to live with. 

Soft textures, natural materials and organic forms bring warmth and comfort to the everyday – the essence of hygge, expressed through design.

Featured gifts:
(01) REMS bedspread
(02) Curve bowl 
(03) Teddy cushion
(04) Sweet Art candlestick
(05) Fracture candlestick

Explore cosy gift ideas via the link in bio.

#MindfulDesign #CraftedForComfort #FunctionalLuxury #DesignForLiving",78,78,2500,2025-04-03T09:59:04.000Z,https://www.instagram.com/p/DH-vHZXSFPR/,16-03-2026,03-04-2025,257,22,3.135494216,1,1,1,0,84,2.211398663,12300,1,0,,1,1,1,0
"Raw stoneware meets glossy, hand-dipped glaze in our Half-Dipped Vases - a modern balance of texture and shine. 

Shop now and save!",56,56,2500,2024-09-27T12:30:00.000Z,https://www.instagram.com/p/DAa69PDSIms/,16-03-2026,27-09-2024,427,19,2.995732274,5,1,1,0,1,0,12300,1,0,,0,1,1,0
"In the open-plan living space of our recent Edinburgh project, our Interior Designers introduced an L-shaped sofa in rich green velvet – creating both a striking focal point and a welcoming hub for social connection.",0,0,2539,2025-06-23T08:04:55.000Z,https://www.instagram.com/p/DLPGcO-TsFy/,16-03-2026,23-06-2025,210,21,3.091042453,1,0,0,0,83,2.36734275,12300,1,1,,1,1,0,0
"Khushiyon ke rang, Fabindia ke sang

This is your last-minute call to make Holi truly full-proof, with everything you need for a celebration full of masti and maza. From skin-friendly herbal gulal (now on a Buy 3 Get 1 Free offer) to chatpate snacks, refreshing thandai, vibrant leheriya dupattas, and classic all-white outfits, Fabindia has got your Holi sorted to the max.

And of course, no celebration is complete without the OG indulgence. Our Baked Coconut Gujiya and #MadeALT bites, freshly served at Fabcafes across Delhi, Noida, Gurgaon, and Lucknow.
Shop online or step into your nearest Fabindia store today.

#Fabindia #Fabcafe #CelebrateIndia #Holi

[Fabcafe, white kurtas, festive edit, handcrafted fashion, leheriya dupattas, organic gulal, baked gujiyas, thandai moments, artisanal bites, easy festive styling, relaxed silhouettes, statement dupattas, spring dressing, mindful indulgence, celebratory mood]",0,0,2567,2026-02-02T19:00:19.000Z,https://www.instagram.com/p/DURCoGBgRiW/,16-03-2026,02-02-2026,24,15,2.772588722,0,2,6,0,44,5.171355,4680,0,0,,0,0,2,0
